
    PO_GenerationByGeneratorType(iTime,iGeneratorType) := data table 
                        Nuclear       Oil  NGCC-Old  NGCC-New  NGCT-Old      Wind
                    !  --------  --------  --------  --------  --------  --------
'2015-07-04 08:00:00'   700.000    19.200  1400.000  1253.064   337.500   230.000
'2015-07-04 08:15:00'   700.000    19.200  1400.000  1282.474   337.500   198.414
'2015-07-04 08:30:00'   700.000    19.200  1400.000  1514.671   337.500   180.820
'2015-07-04 08:45:00'   700.000    19.200  1400.000  1585.035   337.500   182.026
'2015-07-04 09:00:00'   700.000    19.200  1400.000  1588.866   337.500   179.000
'2015-07-04 09:15:00'   700.000    19.200  1400.000  1596.590   337.500   165.502
'2015-07-04 09:30:00'   700.000    19.200  1400.000  1694.843   337.500   163.960
'2015-07-04 09:45:00'   700.000    19.200  1400.000  1864.751   337.500   159.266
'2015-07-04 10:00:00'   700.000    19.200  1400.000  1767.267   337.500   143.000
'2015-07-04 10:15:00'   700.000    19.200  1400.000  1813.235   337.500   117.080
'2015-07-04 10:30:00'   700.000    19.200  1400.000  1925.999   337.500   108.733
'2015-07-04 10:45:00'   700.000    19.200  1400.000  1822.343   337.500    92.550
'2015-07-04 11:00:00'   700.000    19.200  1400.000  1937.201   337.500    68.000
